               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.013848,            0.010485,           0.0042507,             0.80642,             0.72019,             0.79833,             0.61746,            0.009282,           0.0039307,            0.012861,            0.070143,           0.0033175,           0.0033175
                   1,            0.015219,            0.010495,           0.0032582,             0.83554,             0.72902,              0.7983,             0.57116,            0.011121,            0.003932,            0.012939,            0.040126,           0.0066343,           0.0066343
                   2,            0.018039,            0.011374,           0.0039574,             0.84421,             0.71343,             0.78945,             0.57469,             0.01222,           0.0037193,            0.012905,            0.010093,           0.0099347,           0.0099347
                   3,            0.019542,            0.011649,            0.004707,             0.69909,             0.69206,             0.76323,              0.5428,            0.011051,           0.0044343,            0.013781,           0.0099258,           0.0099258,           0.0099258
                   4,             0.01812,            0.011314,           0.0053209,             0.80695,             0.74671,             0.78637,             0.54757,            0.011555,           0.0040399,            0.015957,           0.0099258,           0.0099258,           0.0099258
                   5,            0.019396,            0.012366,           0.0068921,              0.7721,             0.65753,              0.7588,             0.53528,            0.012504,           0.0038024,             0.01358,            0.009901,            0.009901,            0.009901
                   6,             0.01975,            0.012427,            0.006834,             0.68982,             0.60278,             0.67956,             0.45529,            0.012968,           0.0042939,            0.014475,           0.0098763,           0.0098763,           0.0098763
                   7,            0.020541,            0.012737,           0.0068744,             0.74055,             0.75969,             0.78977,             0.61818,            0.012238,            0.003944,            0.011182,           0.0098515,           0.0098515,           0.0098515
                   8,            0.019964,            0.013069,           0.0091827,             0.83203,             0.68445,             0.77694,              0.5184,            0.012775,            0.004137,            0.012305,           0.0098268,           0.0098268,           0.0098268
                   9,            0.018667,             0.01316,           0.0090793,             0.67292,             0.47395,             0.51689,             0.28944,             0.01506,           0.0046188,             0.01743,            0.009802,            0.009802,            0.009802
                  10,            0.018989,            0.012895,           0.0098751,             0.64046,             0.67438,             0.72522,              0.5117,            0.012956,           0.0042124,            0.011827,           0.0097773,           0.0097773,           0.0097773
                  11,            0.018953,            0.013477,           0.0099807,             0.71513,               0.733,             0.74899,             0.53227,            0.010616,           0.0041348,            0.011986,           0.0097525,           0.0097525,           0.0097525
                  12,            0.020043,            0.013353,           0.0095614,              0.7683,             0.68176,             0.73417,             0.54273,            0.010361,           0.0041036,            0.014634,           0.0097278,           0.0097278,           0.0097278
                  13,            0.021017,            0.013596,           0.0089853,             0.74884,             0.67865,             0.76769,             0.55864,             0.01125,            0.004208,            0.017568,            0.009703,            0.009703,            0.009703
                  14,            0.019023,            0.013351,           0.0099722,             0.82958,             0.75132,             0.78508,             0.58176,            0.010553,           0.0040279,            0.014856,           0.0096783,           0.0096783,           0.0096783
                  15,            0.018882,            0.013182,           0.0095856,             0.81258,             0.73436,             0.74555,             0.54557,            0.011153,           0.0041332,            0.012922,           0.0096535,           0.0096535,           0.0096535
                  16,            0.019466,            0.013051,           0.0086509,             0.79537,             0.56954,             0.71449,             0.49046,            0.011536,           0.0042576,            0.013911,           0.0096288,           0.0096288,           0.0096288
                  17,            0.019366,             0.01305,              0.0085,             0.64542,             0.75278,             0.76542,             0.52619,            0.012553,           0.0039502,            0.012308,            0.009604,            0.009604,            0.009604
                  18,            0.020576,            0.013492,           0.0084936,             0.79273,             0.60738,             0.70301,             0.51303,            0.011466,           0.0040458,            0.018498,           0.0095793,           0.0095793,           0.0095793
                  19,            0.019524,            0.013197,           0.0077029,             0.81819,             0.66351,             0.76398,             0.53068,            0.010453,           0.0043784,            0.012516,           0.0095545,           0.0095545,           0.0095545
                  20,            0.019915,            0.013369,           0.0082984,             0.77019,             0.69984,             0.72912,             0.49357,            0.012885,           0.0042695,            0.015199,           0.0095298,           0.0095298,           0.0095298
                  21,            0.019443,            0.013087,           0.0083228,             0.81428,             0.68225,              0.7733,             0.57739,            0.011398,           0.0039521,            0.017732,            0.009505,            0.009505,            0.009505
                  22,            0.019305,            0.012676,            0.008302,             0.68506,             0.71811,             0.75728,             0.51896,            0.012073,           0.0041464,            0.013853,           0.0094803,           0.0094803,           0.0094803
                  23,            0.019839,            0.013907,           0.0088315,             0.82477,              0.7339,             0.79846,             0.58681,            0.010229,             0.00392,            0.014096,           0.0094555,           0.0094555,           0.0094555
                  24,            0.019665,             0.01322,           0.0088556,             0.77884,             0.65767,             0.76176,             0.52573,            0.011896,           0.0042731,            0.011805,           0.0094307,           0.0094307,           0.0094307
                  25,            0.018788,             0.01295,           0.0087043,             0.67676,             0.69056,             0.74071,             0.54044,            0.011071,           0.0041451,            0.010818,            0.009406,            0.009406,            0.009406
                  26,            0.019119,            0.013048,           0.0087092,             0.75852,             0.71359,              0.7772,             0.56066,            0.010487,           0.0042054,             0.01022,           0.0093813,           0.0093813,           0.0093813
                  27,            0.018414,            0.013422,           0.0089411,             0.78907,             0.68007,             0.76317,             0.49748,            0.012771,           0.0040016,            0.012584,           0.0093565,           0.0093565,           0.0093565
                  28,             0.01904,            0.013335,           0.0081283,             0.81132,             0.70029,             0.77868,             0.59322,            0.010552,           0.0038822,            0.011065,           0.0093317,           0.0093317,           0.0093317
